id,fldNpdidFi,wlbNpdidWe,fldName,fldCurrent,wlbName,fldDiscove,fldFactPag,fldFactMap,fldOwnerKi,fldOwnerNa,cmpLongNam,wlbFactPag,fldHcType,fldMainAre,cmpNpdidCo,fldNpdidOw,fldDateUpd,fldDateU_1,fldMainSup,Shape_Leng,Shape_Area
104,23395946,3075,AASTA HANSTEEN,Producing,01/10/6707,1997,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=23395946,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=23395946,PRODUCTION LICENSE,218,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=3075,GAS,Norwegian Sea,32011216,22556,00:00.0,00:00.0,Sandnessj├╕en,57060.70423,26238070.2
122,33310197,4059,ÆRFUGL,Producing,03/05/6507,2000,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=33310197,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=33310197,BUSINESS ARRANGEMENT AREA,SKARV UNIT,Aker BP ASA,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=4059,GAS/CONDENSATE,Norwegian Sea,28544099,4468539,00:00.0,00:00.0,Sandnessj├╕en,129672.5009,100089747.3
1,43437,239,ALBUSKJELL,Shut down,01/06/2001,1972,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43437,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43437,PRODUCTION LICENSE,18,ConocoPhillips Skandinavia AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=239,GAS/CONDENSATE,North Sea,2410696,20900,00:00.0,00:00.0,,31388.4518,31624323.68
75,4444332,1533,ALVE,Producing,01/03/6507,1990,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4444332,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4444332,PRODUCTION LICENSE,159 B,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1533,GAS/CONDENSATE,Norwegian Sea,32011216,2819945,00:00.0,00:00.0,Sandnessj├╕en,21978.89445,13319510.1
66,2845712,3397,ALVHEIM,Producing,24/06/2002,1998,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=2845712,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=2845712,PRODUCTION LICENSE,203,Aker BP ASA,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=3397,OIL/GAS,North Sea,28544099,22436,00:00.0,00:00.0,,135985.9973,80921560.3
42,43765,68,ÅSGARD,Producing,01/11/6507,1981,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43765,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43765,BUSINESS ARRANGEMENT AREA,├àSGARD UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=68,GAS/CONDENSATE,Norwegian Sea,32011216,40564,00:00.0,00:00.0,Kristiansund,197488.0602,251340739.7
94,21106284,6423,ATLA,Producing,25/05/2007,2010,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21106284,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21106284,PRODUCTION LICENSE,102 C,Total E&P Norge AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6423,GAS/CONDENSATE,North Sea,2410708,5467035,00:00.0,00:00.0,,11411.79256,2767167.404
17,43562,143,BALDER,Producing,25/11/2001,1967,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43562,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43562,PRODUCTION LICENSE,1,V├Ñr Energi AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=143,OIL,North Sea,33360957,20756,00:00.0,00:00.0,Dusavik,117011.7806,84833992.15
117,29446221,7265,BAUGE,Approved for production,06/08/6407,2013,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=29446221,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=29446221,PRODUCTION LICENSE,348,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=7265,OIL,Norwegian Sea,32011216,2987047,00:00.0,00:00.0,Kristiansund,12024.82711,6442262.278
69,3437650,1382,BLANE,Producing,01/02/2001,1989,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=3437650,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=3437650,BUSINESS ARRANGEMENT AREA,BLANE UNIT,Repsol Norge AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1382,OIL,North Sea,27052812,3437667,00:00.0,00:00.0,,32361.63283,25067807.5
100,22492497,6222,BØYLA,Producing,24/9-9 S,2009,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=22492497,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=22492497,PRODUCTION LICENSE,340,Aker BP ASA,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6222,OIL,North Sea,28544099,2986630,00:00.0,00:00.0,,20265.66705,13395216.81
29,43651,402,BRAGE,Producing,31/4-3,1980,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43651,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43651,BUSINESS ARRANGEMENT AREA,BRAGE UNIT,Wintershall Dea Norge AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=402,OIL,North Sea,35318843,40432,00:00.0,00:00.0,Mongstad,95252.79221,93667654.96
95,21123063,1868,BRYNHILD,Shut down,07/07/2002,1992,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21123063,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21123063,PRODUCTION LICENSE,148,Lundin Energy Norway AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1868,OIL,North Sea,36998861,21996,00:00.0,00:00.0,,12121.60068,9069111.381
110,28975067,5063,BYRDING,Producing,35/11-13,2005,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=28975067,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=28975067,PRODUCTION LICENSE,090 B,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5063,OIL/GAS,North Sea,32011216,3426781,00:00.0,00:00.0,Mongstad,27632.83022,10588475.92
45,43785,149,COD,Shut down,07/11/2001,1968,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43785,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43785,PRODUCTION LICENSE,18,ConocoPhillips Skandinavia AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=149,GAS/CONDENSATE,North Sea,2410696,20900,00:00.0,00:00.0,,11870.87299,8208572.412
41,43758,133,DRAUGEN,Producing,01/09/6407,1984,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43758,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43758,PRODUCTION LICENSE,93,OKEA ASA,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=133,OIL,Norwegian Sea,34925006,21548,00:00.0,00:00.0,Kristiansund,72993.49464,62980998.05
124,34833026,7988,DUVA,Approved for production,36/7-4,2016,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=34833026,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=34833026,PRODUCTION LICENSE,636,Neptune Energy Norge AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=7988,OIL/GAS,North Sea,31123361,21561151,00:00.0,00:00.0,Flor├╕,24046.20377,12981846.42
112,29393934,6367,DVALIN,Approved for production,6507/7-14 S,2010,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=29393934,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=29393934,PRODUCTION LICENSE,435,Wintershall Dea Norge AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6367,GAS,Norwegian Sea,35318843,4238696,00:00.0,00:00.0,Kristiansund,41265.16271,17475870.88
14,43541,263,EDDA,Shut down,02/07/2004,1972,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43541,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43541,PRODUCTION LICENSE,18,ConocoPhillips Skandinavia AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=263,OIL,North Sea,2410696,20900,00:00.0,00:00.0,,17813.20386,11831203.23
