FIELDNAME,YEAR,OIL,GAS,NGL,COND,OE,WATER,NPDID
24/9-12 S (Frosk),2019,0.228,0.012,0,0,0.241,0.001,31140456
24/9-12 S (Frosk),2020,0.426,0.025,0,0,0.451,0.083,31140456
33/9-6 DELTA,2009,0.01,0,0,0,0.01,0.011,44576
33/9-6 DELTA,2010,0.021,0,0,0,0.021,0.038,44576
33/9-6 DELTA,2011,0.019,0,0,0,0.019,0.007,44576
33/9-6 DELTA,2012,0.013,0,0,0,0.013,0.004,44576
33/9-6 DELTA,2013,0.004,0,0,0,0.004,0.001,44576
33/9-6 DELTA,2014,0.001,0,0,0,0.001,0,44576
7220/11-1 (Alta),2018,0.106,0,0,0,0.106,0.003,25288497
ALBUSKJELL,1979,0.531,0.652,0.06,0,1.243,0,43437
ALBUSKJELL,1980,1.442,1.779,0.208,0,3.428,0,43437
ALBUSKJELL,1981,1.426,2.249,0.268,0,3.943,0,43437
ALBUSKJELL,1982,0.953,1.998,0.251,0,3.202,0,43437
ALBUSKJELL,1983,0.697,1.655,0.253,0,2.605,0,43437
ALBUSKJELL,1984,0.462,1.183,0.169,0,1.814,0,43437
ALBUSKJELL,1985,0.357,1.026,0.157,0,1.54,0,43437
ALBUSKJELL,1986,0.285,0.946,0.129,0,1.36,0,43437
ALBUSKJELL,1987,0.216,0.778,0.106,0,1.1,0,43437
ALBUSKJELL,1988,0.176,0.613,0.096,0,0.884,0,43437
ALBUSKJELL,1989,0.142,0.456,0.067,0,0.665,0,43437
ALBUSKJELL,1990,0.109,0.339,0.046,0,0.493,0,43437
ALBUSKJELL,1991,0.091,0.271,0.031,0,0.393,0,43437
ALBUSKJELL,1992,0.087,0.266,0.027,0,0.38,0,43437
ALBUSKJELL,1993,0.096,0.309,0.033,0,0.437,0,43437
ALBUSKJELL,1994,0.081,0.264,0.028,0,0.373,0,43437
ALBUSKJELL,1995,0.074,0.236,0.024,0,0.335,0,43437
ALBUSKJELL,1996,0.054,0.218,0.021,0,0.293,0,43437
ALBUSKJELL,1997,0.046,0.192,0.02,0,0.258,0,43437
ALBUSKJELL,1998,0.03,0.106,0.012,0,0.147,0,43437
ALVE,2009,0.259,0.9,0.313,0,1.472,0.003,4444332
ALVE,2010,0.244,0.839,0.289,0,1.372,0,4444332
ALVE,2011,0.318,0.747,0.27,0,1.335,0.002,4444332
ALVE,2012,0.243,0.505,0.187,0,0.935,0,4444332
ALVE,2013,0.136,0.318,0.115,0,0.569,0.002,4444332
ALVE,2014,0.185,0.539,0.184,0,0.908,0.005,4444332
ALVE,2015,0.152,0.459,0.159,0,0.77,0.001,4444332
ALVE,2016,0.146,0.446,0.155,0,0.747,0.001,4444332
ALVE,2017,0.176,0.756,0.247,0,1.179,0.013,4444332
ALVE,2018,0.137,0.63,0.222,0,0.988,0.024,4444332
ALVE,2019,0.117,0.573,0.197,0,0.887,0.013,4444332
ALVE,2020,0.051,0.331,0.112,0,0.495,0.006,4444332
ALVHEIM,2008,2.269,0.126,0,0,2.394,0.001,2845712
ALVHEIM,2009,4.986,0.436,0,0,5.422,0.377,2845712
ALVHEIM,2010,4.599,0.442,0,0,5.041,0.34,2845712
ALVHEIM,2011,3.863,0.461,0,0,4.323,0.935,2845712
ALVHEIM,2012,4.024,0.626,0,0,4.65,2.111,2845712
ALVHEIM,2013,3.492,0.605,0,0,4.096,2.772,2845712
ALVHEIM,2014,3.16,0.573,0,0,3.733,3.86,2845712
ALVHEIM,2015,2.57,0.393,0,0,2.963,4.66,2845712
ALVHEIM,2016,3.321,0.5,0,0,3.821,4.44,2845712
ALVHEIM,2017,4.198,0.571,0,0,4.77,5.507,2845712
ALVHEIM,2018,3.131,0.509,0,0,3.64,5.58,2845712
ALVHEIM,2019,2.868,0.617,0,0,3.485,5.713,2845712
ALVHEIM,2020,1.936,0.498,0,0,2.434,5.174,2845712
ATLA,2012,0.038,0.046,0,0,0.085,0,21106284
ATLA,2013,0.072,0.075,0,0,0.147,0,21106284
ATLA,2014,0.034,0.234,0,0,0.267,0,21106284
ATLA,2015,0.027,0.315,0,0,0.342,0,21106284
ATLA,2016,0.022,0.465,0,0,0.488,0.004,21106284
ATLA,2017,0.035,0.069,0,0,0.104,0,21106284
ATLA,2018,0.023,0.029,0,0,0.052,0.001,21106284
ATLA,2019,0.012,0.077,0,0,0.089,0.001,21106284
ATLA,2020,0,0.069,0,0,0.069,0,21106284
BALDER,1991,0.129,0,0,0,0.129,0,43562
BALDER,1999,0.881,0,0,0,0.881,0.006,43562
BALDER,2000,4.018,0,0,0,4.018,1.212,43562
BALDER,2001,3.888,0,0,0,3.888,1.579,43562
BALDER,2002,3.436,0,0,0,3.436,2.371,43562
BALDER,2003,3.949,0.032,0,0,3.981,2.163,43562
BALDER,2004,6.046,0.194,0,0,6.24,2.627,43562
BALDER,2005,6.984,0.254,0,0,7.239,2.792,43562
BALDER,2006,6.352,0.215,0,0,6.567,3.113,43562
BALDER,2007,5.624,0.189,0,0,5.813,3.437,43562
BALDER,2008,4.409,0.14,0,0,4.549,3.967,43562
BALDER,2009,3.313,0.108,0,0,3.421,4.617,43562
BALDER,2010,2.726,0.091,0,0,2.818,5.213,43562
BALDER,2011,2.27,0.061,0,0,2.332,5.261,43562
BALDER,2012,1.857,0.046,0,0,1.903,4.738,43562
BALDER,2013,1.925,0.062,0,0,1.987,4.686,43562
BALDER,2014,2.488,0.07,0,0,2.557,4.331,43562
BALDER,2015,2.556,0.091,0,0,2.647,4.437,43562
BALDER,2016,2.671,0.093,0,0,2.764,5.034,43562
BALDER,2017,2.119,0.061,0,0,2.18,5.84,43562
BALDER,2018,1.619,0.045,0,0,1.663,5.059,43562
BALDER,2019,1.383,0.032,0,0,1.415,5.227,43562
BALDER,2020,0.856,0.004,0,0,0.86,3.363,43562
BLANE,2007,0.049,0,0.002,0,0.051,0,3437650
BLANE,2008,0.139,0,0.006,0,0.145,0,3437650
BLANE,2009,0.116,0,0.005,0,0.12,0,3437650
BLANE,2010,0.094,0,0.003,0,0.097,0,3437650
BLANE,2011,0.101,0,0.004,0,0.104,0.003,3437650
BLANE,2012,0.054,0,0.002,0,0.056,0.008,3437650
BLANE,2013,0.045,0,0.002,0,0.047,0.023,3437650
BLANE,2014,0.041,0,0.002,0,0.043,0.023,3437650
BLANE,2015,0.028,0,0.001,0,0.029,0.022,3437650
BLANE,2016,0.029,0,0.001,0,0.03,0.027,3437650
BLANE,2017,0.02,0,0.001,0,0.021,0.022,3437650
BLANE,2018,0.019,0,0.001,0,0.019,0.024,3437650
BLANE,2019,0.014,0,0.001,0,0.015,0.021,3437650
